Fecha,spy,spy_lag1,MSCI,SPDR,EZU,EWJ,QQQ,sp500,dji,nasdaq,Price
2021-01-05,7.2099999999999795,-1.6099999999999568,-0.6199999999999974,-0.6999999999999993,-0.23000000000000398,0.06999999999999318,4.860000000000014,-14.199999999999818,-158.52999999999884,-0.5,368.1
2021-01-06,-1.6099999999999568,-6.390000000000043,-0.6099999999999994,-1.1799999999999997,-0.03999999999999915,0.3100000000000023,-2.740000000000009,-52.5,-538.4000000000015,-201.1900000000005,369.71
2021-01-07,-6.390000000000043,-4.489999999999952,-0.740000000000002,-0.14000000000000057,-0.1700000000000017,-1.0999999999999943,-2.3600000000000136,-50.40000000000009,-168.40000000000146,-292.8799999999992,376.1
2021-01-08,-4.489999999999952,2.7399999999999523,0.9399999999999977,0.46999999999999886,0.9799999999999969,0.8800000000000097,3.0500000000000114,12.0,54.210000000002765,111.43999999999869,380.59
2021-01-11,2.7399999999999523,-1.0399999999999636,0.10999999999999943,-0.5799999999999983,0.060000000000002274,0.07000000000000739,-0.040000000000020464,1.5,0.3600000000005821,-13.279999999998836,377.85
2021-01-12,-1.0399999999999636,0.19999999999998863,-0.8999999999999986,-0.08999999999999986,0.0899999999999963,-0.06999999999999318,-0.2699999999999818,-0.599999999999909,-69.87000000000262,-25.950000000000728,378.89
2021-01-13,0.19999999999998863,-1.8999999999999773,-0.1700000000000017,-0.120000000000001,-0.010000000000005116,-0.5099999999999909,-0.45999999999997954,-12.800000000000182,-0.7899999999972351,-86.73999999999978,378.69
2021-01-14,-1.8999999999999773,3.8699999999999477,0.3200000000000003,0.41000000000000014,0.6200000000000045,1.0799999999999983,0.20999999999997954,26.300000000000182,158.89999999999782,74.85000000000036,380.59
2021-01-15,3.8699999999999477,-1.6199999999999477,0.3400000000000034,-0.10000000000000142,-0.490000000000002,-0.3100000000000023,-2.3899999999999864,6.799999999999727,39.35000000000218,-32.82999999999993,376.72
2021-01-19,-1.6199999999999477,-2.7700000000000387,-0.020000000000003126,-0.019999999999999574,-0.10999999999999943,0.10999999999999943,-3.730000000000018,-34.29999999999973,-130.12000000000262,-209.8199999999997,378.34
2021-01-20,-2.7700000000000387,-3.3799999999999955,0.480000000000004,0.25,-0.10999999999999943,0.20999999999999375,-1.3799999999999955,-41.30000000000018,-180.46999999999753,-178.9300000000003,381.11
2021-01-21,-3.3799999999999955,2.240000000000009,1.509999999999998,0.620000000000001,0.4399999999999977,0.3200000000000074,1.0699999999999932,13.300000000000182,56.44999999999709,46.67000000000007,384.49
2021-01-22,2.240000000000009,-1.420000000000016,0.21000000000000085,0.21000000000000085,0.6099999999999994,0.30999999999998806,-3.490000000000009,-7.5,151.71000000000276,-206.39999999999964,382.25
2021-01-25,-1.420000000000016,-1.740000000000009,-0.8500000000000014,-0.1999999999999993,-0.35999999999999943,0.1700000000000017,-0.7400000000000091,-11.300000000000182,21.299999999999272,-0.5100000000002183,383.67
2021-01-26,-1.740000000000009,5.189999999999998,0.5500000000000043,0.7699999999999996,1.1099999999999994,0.8499999999999943,2.330000000000041,26.199999999999818,74.77000000000044,195.13999999999942,385.41
2021-01-27,5.189999999999998,3.8600000000000136,0.10999999999999943,0.09999999999999787,-0.46999999999999886,0.14000000000000057,-1.240000000000009,81.0,516.5900000000001,163.28999999999905,380.22
2021-01-28,3.8600000000000136,0.7300000000000182,0.46000000000000085,-0.08999999999999986,0.3200000000000003,1.0,1.7399999999999523,-22.299999999999727,-176.72000000000116,38.57000000000153,376.36
2021-01-29,0.7300000000000182,1.9099999999999682,-0.15000000000000568,0.19000000000000128,-0.6400000000000006,-0.5700000000000074,-3.5500000000000114,46.90000000000009,499.1800000000003,58.539999999999054,375.63
2021-02-01,1.9099999999999682,-5.92999999999995,-1.25,-0.40000000000000213,-0.35999999999999943,-0.21999999999999886,-3.0600000000000023,-60.600000000000364,-222.15000000000146,-316.9200000000001,373.72
2021-02-02,-5.92999999999995,-2.7900000000000205,-0.0899999999999963,-0.3299999999999983,0.01999999999999602,-0.3199999999999932,-2.1399999999999864,-48.5,-412.77000000000044,-175.20999999999913,379.65
2021-02-03,-2.7900000000000205,-0.5199999999999818,0.14999999999999858,-0.3099999999999987,0.07000000000000028,0.3100000000000023,-1.4399999999999977,3.600000000000364,-48.12999999999738,44.25,382.44
2021-02-04,-0.5199999999999818,-5.240000000000009,-0.1599999999999966,-0.7900000000000027,-0.3100000000000023,-0.5300000000000011,-0.9800000000000182,-41.600000000000364,-356.0300000000025,-150.8199999999997,382.96
2021-02-05,-5.240000000000009,-1.0699999999999932,0.06999999999999318,0.11000000000000298,-0.21999999999999886,-1.2800000000000011,-1.740000000000009,-14.299999999999727,-97.38999999999942,-112.18000000000029,388.2
2021-02-08,-1.0699999999999932,-0.34000000000003183,0.6200000000000045,-0.20000000000000284,0.01999999999999602,-0.23000000000000398,0.9499999999999886,-17.90000000000009,-168.6800000000003,-29.76000000000022,389.27
2021-02-09,-0.34000000000003183,-2.509999999999991,-0.28999999999999915,-0.2699999999999996,-0.10000000000000142,-0.1599999999999966,-1.4800000000000182,-10.300000000000182,-68.13999999999942,-126.53000000000065,389.61
2021-02-10,-2.509999999999991,0.8799999999999955,-0.5,0.14000000000000057,-0.28999999999999915,-0.28000000000000114,-1.5699999999999932,4.400000000000091,-38.470000000001164,48.14000000000124,392.12
2021-02-11,0.8799999999999955,1.3899999999999864,0.6799999999999997,0.14999999999999858,0.20000000000000284,0.030000000000001137,0.8700000000000045,4.700000000000273,45.69000000000233,66.0,391.24
